Eticheta;Microadresa MPM (decimal);Microadresa MPM (hexa);Cod microinstructiune (hexa);Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Cod microinstructiune (binar)
;;;;MIR 35 … 32;MIR 31 … 28;MIR 27 … 24;MIR 23 … 20;MIR 19 … 18;MIR 17 … 14;MIR 13 … 11;MIR 10 … 8;MIR 7;MIR 6 … 0;35 … 32;31 … 28;27 … 24;23 … 20;19 … 18;17 … 14;13 … 11;10 … 8;7;6 … 0;
CMP:;33;0x21;0x58301CF00;PdTsNeg: 0101;PdMDRd: 1000;SUM: 0011;NONE: 0000;NONE: 00;"Cin,PdCONDaritm: 0111";JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0101;1000;0011;0000;00;0111;001;111;0;0000000;010110000011000000011100111100000000
AND:;34;0x22;0x085920B34;NONE: 0000;PdMDRd: 1000;AND: 0101;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;0101;1001;00;1000;001;011;0;0110100;000010000101100100100000101100110100
OR:;35;0x23;0x486920B34;PdTs: 0100;PdMDRd: 1000;OR: 0110;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0100;1000;0110;1001;00;1000;001;011;0;0110100;010010000110100100100000101100110100
XOR:;36;0x24;0x487920B34;PdTs: 0100;PdMDRd: 1000;XOR: 0111;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0100;1000;0111;1001;00;1000;001;011;0;0110100;010010000111100100100000101100110100
CLR:;37;0x25;0x0B2920B34;NONE: 0000;Pd0d: 1011;DBUS: 0010;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1011;0010;1001;00;1000;001;011;0;0110100;000010110010100100100000101100110100
NEG:;38;0x26;0x092920B34;NONE: 0000;PdMDRdNeg: 1001;DBUS: 0010;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1001;0010;1001;00;1000;001;011;0;0110100;000010010010100100100000101100110100
INC:;39;0x27;0xB8391CB34;Pd0s: 1011;PdMDRd: 1000;SUM: 0011;PmMDR: 1001;NONE: 00;"Cin,PdCONDaritm: 0111";JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;1011;1000;0011;1001;00;0111;001;011;0;0110100;101110000011100100011100101100110100
DEC:;40;0x28;0xC83918B34;Pd-1s: 1100;PdMDRd: 1000;SUM: 0011;PmMDR: 1001;NONE: 00;PdCONDaritm: 0110;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;1100;1000;0011;1001;00;0110;001;011;0;0110100;110010000011100100011000101100110100
ASL:;41;0x29;0x088918B34;NONE: 0000;PdMDRd: 1000;ASL: 1000;PmMDR: 1001;NONE: 00;PdCONDaritm: 0110;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1000;1001;00;0110;001;011;0;0110100;000010001000100100011000101100110100
ASR:;42;0x2A;0x089918B34;NONE: 0000;PdMDRd: 1000;ASR: 1001;PmMDR: 1001;NONE: 00;PdCONDaritm: 0110;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1001;1001;00;0110;001;011;0;0110100;000010001001100100011000101100110100
LSR:;43;0x2B;0x08A920B34;NONE: 0000;PdMDRd: 1000;LSR: 1010;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1010;1001;00;1000;001;011;0;0110100;000010001010100100100000101100110100
ROL:;44;0x2C;0x08B920B34;NONE: 0000;PdMDRd: 1000;ROL: 1011;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1011;1001;00;1000;001;011;0;0110100;000010001011100100100000101100110100
ROR:;45;0x2D;0x08C920B34;NONE: 0000;PdMDRd: 1000;ROR: 1100;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1100;1001;00;1000;001;011;0;0110100;000010001100100100100000101100110100
RLC:;46;0x2E;0x08D920B34;NONE: 0000;PdMDRd: 1000;RLC: 1101;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1101;1001;00;1000;001;011;0;0110100;000010001101100100100000101100110100
RRC:;47;0x2F;0x08E920B34;NONE: 0000;PdMDRd: 1000;RRC: 1110;PmMDR: 1001;NONE: 00;PdCONDlog: 1000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0000;1000;1110;1001;00;1000;001;011;0;0110100;000010001110100100100000101100110100
PUSH:;48;0x30;0x3018C8F00;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;WRITE: 11;-2SP: 0010;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0011;0000;0001;1000;11;0010;001;111;0;0000000;001100000001100011001000111100000000
POP:;49;0x31;0x801500000;PdADRs: 1000;NONE: 0000;SBUS: 0001;PmT: 0101;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;1000;0000;0001;0101;00;0000;000;000;0;0000000;100000000001010100000000000000000000
POP_z:;50;0x32;0x301880000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;10;0000;000;000;0;0000000;001100000001100010000000000000000000
POP_z:;51;0x33;0x401804B34;PdTs: 0100;NONE: 0000;SBUS: 0001;PmADR: 1000;NONE: 00;+2SP: 0001;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0100;0000;0001;1000;00;0001;001;011;0;0110100;010000000001100000000100101100110100
WRD:;52;0x34;0x000000802;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;ILLEGAL: 0000010;0000;0000;0000;0000;00;0000;001;000;0;0000010;000000000000000000000000100000000010
WRD_z:;53;0x35;0x901300F00;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmRG: 0011;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0000;0001;0011;00;0000;001;111;0;0000000;100100000001001100000000111100000000
WRD_z:;54;0x36;0x0000C0F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;WRITE: 11;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;11;0000;001;111;0;0000000;000000000000000011000000111100000000
WRD_z:;55;0x37;0x0000C0F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;WRITE: 11;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;11;0000;001;111;0;0000000;000000000000000011000000111100000000
BEQ:;56;0x38;0x000002B54;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF Z JUMPI: 101;INDEX3: 011;T: 0;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;101;011;0;1010100;000000000000000000000010101101010100
BEQ_z:;57;0x39;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BNE:;58;0x3A;0x000002BD4;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF Z JUMPI: 101;INDEX3: 011;F: 1;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;101;011;1;1010100;000000000000000000000010101111010100
BNE_z;59;0x3B;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BMI:;60;0x3C;0x000003354;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF S JUMPI: 110;INDEX3: 011;T: 0;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;110;011;0;1010100;000000000000000000000011001101010100
BMI_z:;61;0x3D;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BPL:;62;0x3E;0x0000033D4;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF S JUMPI: 110;INDEX3: 011;F: 1;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;110;011;1;1010100;000000000000000000000011001111010100
BPL_z:;63;0x3F;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BCS:;64;0x40;0x000002354;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF C JUMPI: 100;INDEX3: 011;T: 0;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;100;011;0;1010100;000000000000000000000010001101010100
BCS_z:;65;0x41;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BCC:;66;0x42;0x0000023D4;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF C JUMPI: 100;INDEX3: 011;F: 1;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;100;011;1;1010100;000000000000000000000010001111010100
BCC_z:;67;0x43;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BVS:;68;0x44;0x000003B54;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF V JUMPI: 111;INDEX3: 011;T: 0;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;111;011;0;1010100;000000000000000000000011101101010100
BVS_z:;69;0x45;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
BVC:;70;0x46;0x000003BD4;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF V JUMPI: 111;INDEX3: 011;F: 1;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;111;011;1;1010100;000000000000000000000011101111010100
BVC_z:;71;0x47;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
JMP:;72;0x48;0x000000B54;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX3: 011;T: 0;JMP_AM: 1010100;0000;0000;0000;0000;00;0000;001;011;0;1010100;000000000000000000000000101101010100
JMP_z:;73;0x49;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
CALL:;74;0x4A;0x000000B4B;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX3: 011;T: 0;CALL_AM: 1001011;0000;0000;0000;0000;00;0000;001;011;0;1001011;000000000000000000000000101101001011
CALL_AM:;75;0x4B;0x60188C850;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;+2PC: 0011;JUMPI: 001;INDEX0: 000;T: 0;CALL_2: 1010000;0110;0000;0001;1000;10;0011;001;000;0;1010000;011000000001100010001100100001010000
CALL_AD:;76;0x4C;0x000000802;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;ILLEGAL: 0000010;0000;0000;0000;0000;00;0000;001;000;0;0000010;000000000000000000000000100000000010
CALL_AI:;77;0x4D;0x022500851;NONE: 0000;PdRGd: 0010;DBUS: 0010;PmT: 0101;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;CALL_3: 1010001;0000;0010;0010;0101;00;0000;001;000;0;1010001;000000100010010100000000100001010001
CALL_AX:;78;0x4E;0x60188C000;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;+2PC: 0011;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0110;0000;0001;1000;10;0011;000;000;0;0000000;011000000001100010001100000000000000
CALL_AX_z:;79;0x4F;0x923500851;PdMDRs: 1001;PdRGd: 0010;SUM: 0011;PmT: 0101;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;CALL_3: 1010001;1001;0010;0011;0101;00;0000;001;000;0;1010001;100100100011010100000000100001010001
CALL_2:;80;0x50;0x953500000;PdMDRs: 1001;PdPCd: 0101;SUM: 0011;PmT: 0101;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;1001;0101;0011;0101;00;0000;000;000;0;0000000;100101010011010100000000000000000000
CALL_3:;81;0x51;0x301808000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;NONE: 00;-2SP: 0010;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;00;0010;000;000;0;0000000;001100000001100000001000000000000000
CALL_3_z:;82;0x52;0x6019C0000;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmMDR: 1001;WRITE: 11;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0110;0000;0001;1001;11;0000;000;000;0;0000000;011000000001100111000000000000000000
CALL_3_z:;83;0x53;0x401600F00;PdTs: 0100;NONE: 0000;SBUS: 0001;PmPC: 0110;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0100;0000;0001;0110;00;0000;001;111;0;0000000;010000000001011000000000111100000000
JMP_AM:;84;0x54;0x60188C859;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;+2PC: 0011;JUMPI: 001;INDEX0: 000;T: 0;JMP_AM_2: 1011001;0110;0000;0001;1000;10;0011;001;000;0;1011001;011000000001100010001100100001011001
JMP_AD:;85;0x55;0x000000802;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;ILLEGAL: 0000010;0000;0000;0000;0000;00;0000;001;000;0;0000010;000000000000000000000000100000000010
JMP_AI:;86;0x56;0x022600F00;NONE: 0000;PdRGd: 0010;DBUS: 0010;PmPC: 0110;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0010;0010;0110;00;0000;001;111;0;0000000;000000100010011000000000111100000000
JMP_AX:;87;0x57;0x60188C000;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;+2PC: 0011;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0110;0000;0001;1000;10;0011;000;000;0;0000000;011000000001100010001100000000000000
